category,departure_location,walking_time
公共交通機関,Shizuoka,13 minutes
公共交通機関,雅楽亭,8 minutes
公共交通機関,親子丼専門店 中村屋 井宮町 本家,10 minutes
公共交通機関,Aoi Brewing,2 minutes
公共交通機関,水月製菓舗,10 minutes
公共交通機関,Momotaro International House,9 minutes
公共交通機関,Cafe comme ca 静岡伊勢丹店,14 minutes
公共交通機関,Shizuoka City Culture Hall,12 minutes
公共交通機関,パンの店 マロン,12 minutes
公共交通機関,Cuora,10 minutes
主な施設,Shizuoka,13 minutes
主な施設,雅楽亭,8 minutes
主な施設,親子丼専門店 中村屋 井宮町 本家,10 minutes
主な施設,Aoi Brewing,2 minutes
主な施設,水月製菓舗,10 minutes
主な施設,Momotaro International House,9 minutes
主な施設,Cafe comme ca 静岡伊勢丹店,14 minutes
主な施設,Shizuoka City Culture Hall,12 minutes
主な施設,パンの店 マロン,12 minutes
主な施設,Cuora,10 minutes
教育機関,Shizuoka,13 minutes
教育機関,雅楽亭,8 minutes
教育機関,親子丼専門店 中村屋 井宮町 本家,10 minutes
教育機関,Aoi Brewing,2 minutes
教育機関,水月製菓舗,10 minutes
教育機関,Momotaro International House,9 minutes
教育機関,Cafe comme ca 静岡伊勢丹店,14 minutes
教育機関,Shizuoka City Culture Hall,12 minutes
教育機関,パンの店 マロン,12 minutes
教育機関,Cuora,10 minutes
病院,Shizuoka City Shizuoka Hospital,10 minutes
病院,ハンドパワスポットin静岡,11 minutes
病院,Japanese Red Cross Shizuoka Hospital,11 minutes
病院,Shizuoka Kosei Hospital,10 minutes
